Team,Salary
Cleveland Cavaliers,7642049.0
Miami Heat,6347359.0
Los Angeles Clippers,6323643.0
Oklahoma City Thunder,6251020.0
Golden State Warriors,5924600.0
Chicago Bulls,5785559.0
San Antonio Spurs,5629516.0
Memphis Grizzlies,5467920.0
Charlotte Hornets,5222728.0
Washington Wizards,5088576.0
Houston Rockets,5018868.0
Atlanta Hawks,4860197.0
Los Angeles Lakers,4784695.0
Sacramento Kings,4778911.0
Dallas Mavericks,4746582.0
Toronto Raptors,4741174.0
Minnesota Timberwolves,4593054.0
New York Knicks,4581494.0
Detroit Pistons,4477884.0
Indiana Pacers,4450122.0
New Orleans Pelicans,4355304.0
Milwaukee Bucks,4350220.0
Orlando Magic,4297248.0
Denver Nuggets,4294424.0
Phoenix Suns,4229676.0
Utah Jazz,4204006.0
Boston Celtics,4181505.0
Brooklyn Nets,3501898.0
Portland Trail Blazers,3220121.0
Philadelphia 76ers,2213778.0
